crash_date,news_date,headline
2020-02-05,2020-02-02,Jamaican Dollar Exchange Rates for 02/02/2020 ( 2 February 2020)
2020-02-05,2020-02-02,Palindrome day: Today is 02/02/2020 – the first palindrome day in 909 years | CNN - CNN International
2020-02-05,2020-02-02,First Global Palindrome Day In 909 Years Happens On 02/02/2020
2020-02-05,2020-02-02,"Today is 02/02/2020, the first palindrome day in over 900 years - Boston.com"
2020-02-05,2020-02-03,Exchange Rates History for 2 March 2020 (02/03/2020)
2020-02-05,2020-02-03,What’s Pete Buttigieg going to do next? | CNN Politics
2020-02-05,2020-02-03,The 7 Best Investments To Make In 2020
2020-02-05,2020-02-03,The Washington Post unveils new data-driven strategy for 2020 coverage
2020-02-05,2020-02-03,Phys.org | Archive : 02/03/2020
2020-02-05,2020-02-03,Key Trump Cabinet members refuse to acknowledge Trump lost in 2020
2020-02-05,2020-02-03,"Full moon 2020 calendar: Supermoons, lunar eclipses, blue moons, more - USA TODAY"
2020-02-05,2020-02-03,US Dollar Exchange Rates for 02/03/2020 ( 2 March 2020)
2020-02-05,2020-02-04,Moroccan Dirham Exchange Rates for 02/04/2020 ( 2 April 2020)
2020-02-05,2020-02-04,US Dollar Exchange Rates for 02/04/2020 ( 2 April 2020)
2020-02-05,2020-02-04,How To Upgrade To Windows 10 For ‘Free’ In 2020 [Updated]
2020-02-05,2020-02-04,"Mega Millions lottery: Did you win Tuesday’s $168M Mega Millions drawing? Live results, winning numbers (02/04/2020) - nj.com"
2020-02-05,2020-02-04,Mega Millions results for 02/04/2020; jackpot $168 million
2020-02-05,2020-02-04,20/20 Vision In 2020: Bold Goals For A New Decade
2020-02-05,2020-02-04,Three-quarters of Republicans believe a lie about the 2020 election
2020-02-05,2020-02-04,Iowa Caucus Results 2020 - The New York Times
2020-02-05,2020-02-04,Three-quarters of Republicans believe a lie about the 2020 election
2020-02-05,2020-02-05,Swedish Krona Exchange Rates for 02/05/2020 ( 2 May 2020)
2020-02-05,2020-02-05,Indian Rupee Exchange Rates for 02/05/2020 ( 2 May 2020)
2020-02-05,2020-02-05,"Powerball lottery: Did you win Wednesday’s $50M Powerball drawing? Winning numbers, live results (02/05/2020)"
2020-02-05,2020-02-05,The State Of Online Video For 2020
2020-02-05,2020-02-05,Full Transcript: Trump’s 2020 State of the Union Address
2020-02-05,2020-02-05,2020 College World Series bracket: Printable .PDFs and CWS history
2020-02-05,2020-02-05,"America’s trade gap soared under Trump, final figures show"
2020-02-24,2020-02-18,2020 Retail Outlook - Forbes
2020-02-24,2020-02-18,Who are the 2020 presidential candidates? - Los Angeles Times
2020-02-24,2020-02-18,"Mega Millions lottery: Did you win Tuesday’s $45M Mega Millions drawing? Live results, winning numbers (02/18/2020)"
2020-02-24,2020-02-18,Mega Millions winning numbers for 02/18/2020; jackpot $45 million
2020-02-24,2020-02-18,2020 Predictions For Marketing And Customer Experience
2020-02-24,2020-02-18,Here’s exactly how Michael Bloomberg is surging | CNN Politics
2020-02-24,2020-02-19,"Powerball lottery: Did you win Wednesday’s $50M Powerball drawing? Winning numbers, live results (02/19/2020) - nj.com"
2020-02-24,2020-02-19,"Taxes 2020: Tax brackets, refunds and what you need to know about them - USA TODAY"
2020-02-24,2020-02-19,2020 saw the least split-ticket House voting in decades
2020-02-24,2020-02-19,Music video for ‘Take On Me’ hits one billion views on YouTube
2020-02-24,2020-02-19,Greater Boston | Greater Boston Full Show 02/19/2020 | Season 2020 | Episode 202020139 - PBS
2020-02-24,2020-02-20,Today is 02/02/2020 – the first palindrome day in over 900 years
2020-02-24,2020-02-20,Today is 02/02/2020 – the first global palindrome day in 909 years - CNN
2020-02-24,2020-02-20,US Dollar Exchange Rates for 20/02/2020 (20 February 2020)
2020-02-24,2020-02-20,What Americans Know About the 2020 Census | Pew Research Center
2020-02-24,2020-02-20,Oklahoma newborn born on 02/20/2020 at 20:20 - FOX 5 Atlanta
2020-02-24,2020-02-21,What Drove the Historically Large Murder Spike in 2020?
2020-02-24,2020-02-21,Why Putin would want Trump to win in 2020 - CNN
2020-02-24,2020-02-21,Sanders told Russia is trying to help his campaign - CNN
2020-02-24,2020-02-21,"Mega Millions lottery: Did you win Friday’s $50M Mega Millions drawing? Live results, winning numbers (02/21/2020) - nj.com"
2020-02-24,2020-02-21,How to Be an Expatriate in 2020 - The New York Times
2020-02-24,2020-02-21,How 2020 presidential candidates spent their money in January 2020 - The Washington Post
2020-02-24,2020-02-21,Photos: Lakers vs Grizzlies (02/21/2020) | Los Angeles Lakers - NBA.com
2020-02-24,2020-02-22,"Powerball lottery: Did you win Saturday’s $60M Powerball drawing? Winning numbers, live results (02/22/2020)"
2020-02-24,2020-02-22,Happy Palindrome Day (to some of you)! - Tampa Bay Times
2020-02-24,2020-02-22,Powerball Numbers For 02/22/20: Saturday Jackpot was $60 Million
2020-02-24,2020-02-22,2020: A Space Odyssey - Forbes
2020-02-24,2020-02-22,Nevada Caucuses 2020: Live Election Results - The New York Times
2020-02-24,2020-02-22,"Global Smartphone Sales Declined 12.5% In 2020, But Apple’s 5G IPhone Sales Jumped In Fourth Quarter - Forbes"
2020-02-24,2020-02-23,US intelligence briefer appears to have overstated assessment of 2020 Russian interference
2020-02-24,2020-02-23,Customer surveys have taken over. Not everyone gives them 10s - Los Angeles Times
2020-02-24,2020-02-23,"Elizabeth Johnson Obituary | February 23, 2020 - The Denver Post"
2020-02-24,2020-02-23,Former Arizona AG withheld report debunking 2020 election fraud claims - USA TODAY
2020-02-24,2020-02-23,2020 Mat Classic live updates: Recap the Washington wrestling state championships - Sports Illustrated
2020-02-24,2020-02-24,"02-24-2020 Controlled Substances Act, Howard Center"
2020-02-24,2020-02-24,How Bernie Sanders in 2020 differs from Bernie Sanders in 2016 - CNN
2020-02-24,2020-02-24,Leonardo DiCaprio surprises Jamie Foxx at 2020 ABFF Honors - Los Angeles Times
2020-02-24,2020-02-24,2020 election: Disinformation will be abundant in presidential race - USA TODAY
2020-02-24,2020-02-24,RSA Conference 2020: News Recaps through February 24
2020-02-24,2020-02-24,Analysis: Health care and its discontents loom over Texas Democrats in 2020 - The Texas Tribune
2020-02-24,2020-02-24,Opinion | Let ‘West Side Story’ and Its Stereotypes Die (Published 2020) - The New York Times
2020-02-27,2020-02-21,What Drove the Historically Large Murder Spike in 2020?
2020-02-27,2020-02-21,Why Putin would want Trump to win in 2020 - CNN
2020-02-27,2020-02-21,Sanders told Russia is trying to help his campaign - CNN
2020-02-27,2020-02-21,"Mega Millions lottery: Did you win Friday’s $50M Mega Millions drawing? Live results, winning numbers (02/21/2020) - nj.com"
2020-02-27,2020-02-21,How to Be an Expatriate in 2020 - The New York Times
2020-02-27,2020-02-21,How 2020 presidential candidates spent their money in January 2020 - The Washington Post
2020-02-27,2020-02-21,Photos: Lakers vs Grizzlies (02/21/2020) | Los Angeles Lakers - NBA.com
2020-02-27,2020-02-22,"Powerball lottery: Did you win Saturday’s $60M Powerball drawing? Winning numbers, live results (02/22/2020)"
2020-02-27,2020-02-22,Happy Palindrome Day (to some of you)! - Tampa Bay Times
2020-02-27,2020-02-22,Powerball Numbers For 02/22/20: Saturday Jackpot was $60 Million
2020-02-27,2020-02-22,2020: A Space Odyssey - Forbes
2020-02-27,2020-02-22,Nevada Caucuses 2020: Live Election Results - The New York Times
2020-02-27,2020-02-22,"Global Smartphone Sales Declined 12.5% In 2020, But Apple’s 5G IPhone Sales Jumped In Fourth Quarter - Forbes"
2020-02-27,2020-02-23,US intelligence briefer appears to have overstated assessment of 2020 Russian interference
2020-02-27,2020-02-23,Customer surveys have taken over. Not everyone gives them 10s - Los Angeles Times
2020-02-27,2020-02-23,"Elizabeth Johnson Obituary | February 23, 2020 - The Denver Post"
2020-02-27,2020-02-23,Former Arizona AG withheld report debunking 2020 election fraud claims - USA TODAY
2020-02-27,2020-02-23,2020 Mat Classic live updates: Recap the Washington wrestling state championships - Sports Illustrated
2020-02-27,2020-02-24,"02-24-2020 Controlled Substances Act, Howard Center"
2020-02-27,2020-02-24,How Bernie Sanders in 2020 differs from Bernie Sanders in 2016 - CNN
2020-02-27,2020-02-24,Leonardo DiCaprio surprises Jamie Foxx at 2020 ABFF Honors - Los Angeles Times
2020-02-27,2020-02-24,2020 election: Disinformation will be abundant in presidential race - USA TODAY
2020-02-27,2020-02-24,RSA Conference 2020: News Recaps through February 24
2020-02-27,2020-02-24,Analysis: Health care and its discontents loom over Texas Democrats in 2020 - The Texas Tribune
2020-02-27,2020-02-24,Opinion | Let ‘West Side Story’ and Its Stereotypes Die (Published 2020) - The New York Times
2020-02-27,2020-02-25,US Dollar Exchange Rates for 25/02/2020 (25 February 2020)
2020-02-27,2020-02-25,"Mega Millions winning numbers for Tuesday, 02/25/2020; jackpot $55 million"
2020-02-27,2020-02-25,Exchange Rates History for 25 February 2020 (25/02/2020)
2020-02-27,2020-02-26,US election 2020: A record number of immigrants are eligible to vote - CNN
2020-02-27,2020-02-26,"Powerball lottery: Did you win Wednesday’s $70M Powerball drawing? Winning numbers, live results (02/26/2020)"
2020-02-27,2020-02-26,Powerball Numbers For 02/26/20: Wednesday Jackpot was $70 Million
2020-02-27,2020-02-26,Everything you missed at Toy Fair 2020 - Engadget
2020-02-27,2020-02-26,Here's the story behind Pete Weber's famous 'Who do you think you are? I am!' moment - For The Win
2020-02-27,2020-02-26,"Powerball winning numbers for Wednesday, 02/26/2020; jackpot $70 million"
2020-02-27,2020-02-27,"In 2016, Sanders was blown out in South Carolina. Has he learned how to win over black voters in 2020? - CNN"
2020-02-27,2020-02-27,Questions and Answers on the New US Landmine Policy
2020-02-27,2020-02-27,How Digital Marketing Can Help Your Local Business Grow - Forbes
2020-02-27,2020-02-27,A New Mini-Moon Was Found Orbiting Earth. There Will Be More. (Published 2020) - The New York Times
2020-02-27,2020-02-27,2020 shooting that killed a 70-year-old grandmother still unsolved - Lakeland Ledger
2020-02-27,2020-02-27,Who killed Nick Cordova in Gilbert in May 2020? - azcentral.com
2020-02-27,2020-02-27,How Trump's DEI attacks are reversing gains for Black workers - USA TODAY
2020-02-27,2020-02-27,Karoline Leavitt: Jake Tapper Owes Lara Trump An Apology For Covering Up For Biden's Mental Decline In 2020 Interview | Video - RealClearPolitics
2020-02-27,2020-02-27,Mike Lindell defamation trial begins in Denver over 2020 election
2020-02-27,2020-02-27,"Melania, Barron Trump at White House Easter Egg Roll, then and now? - Palm Beach Post"
2020-02-27,2020-02-27,"Comparing leap years: How 2024 is similar, different to 2020 - Cincinnati Enquirer"
2020-03-09,2020-03-03,Japanese Yen Exchange Rates for 03/03/2020 ( 3 March 2020)
2020-03-09,2020-03-03,"Mega Millions winning numbers for Tuesday, 03/03/2020; jackpot $65 million"
2020-03-09,2020-03-03,Pakistani Rupee Exchange Rates for 03/03/2020 ( 3 March 2020)
2020-03-09,2020-03-03,Archive : 03/03/2020 - Phys.org
2020-03-09,2020-03-03,2020 Super Tuesday: Live Primary Election Results - The New York Times
2020-03-09,2020-03-03,61% of US immigrants eligible to vote in 2020 live in just 5 states - Pew Research Center
2020-03-09,2020-03-03,Live Results: Minnesota Presidential Primary 2020
2020-03-09,2020-03-03,"2020 ACC tournament: Bracket, schedule, scores - NCAA.com"
2020-03-09,2020-03-04,US Dollar Exchange Rates for 03/04/2020 ( 3 April 2020)
2020-03-09,2020-03-04,10 Website Design Trends For 2020
2020-03-09,2020-03-05,Moroccan Dirham Exchange Rates for 03/05/2020 ( 3 May 2020)
2020-03-09,2020-03-06,Jamaican Dollar Exchange Rates for 03/06/2020 ( 3 June 2020)
2020-03-09,2020-03-06,Trump is laying the groundwork to de-legitimize the 2020 election - CNN
2020-03-09,2020-03-06,"Newsweek Magazine March 06, 2020 Issue"
2020-03-09,2020-03-06,Canadian Dollar Exchange Rates for 03/06/2020 ( 3 June 2020)
2020-03-09,2020-03-07,Pakistani Rupee Exchange Rates for 03/07/2020 ( 3 July 2020)
2020-03-09,2020-03-07,2020 Becomes the Dementia Campaign - POLITICO
2020-03-09,2020-03-07,Barbadian Dollar Exchange Rates for 03/07/2020 ( 3 July 2020)
2020-03-09,2020-03-07,Phys.org | Archive : 03/07/2020
2020-03-09,2020-03-08,Nigerian Naira Exchange Rates for 03/08/2020 ( 3 August 2020)
2020-03-09,2020-03-08,Romanian Leu Exchange Rates for 03/08/2020 ( 3 August 2020)
2020-03-09,2020-03-08,Phys.org | Archive : 03/08/2020
2020-03-09,2020-03-08,How Bad Was 2020 for Tourism? Look at the Numbers.
2020-03-09,2020-03-08,"Emmy Awards 2020: The contenders, from 'Billions' to 'Westworld' - Los Angeles Times"
2020-03-09,2020-03-09,US Dollar Exchange Rates for 03/09/2020 ( 3 September 2020)
2020-03-09,2020-03-09,Icelandic Krona Exchange Rates for 03/09/2020 ( 3 September 2020)
2020-03-09,2020-03-09,Why oil prices are crashing and what it means
2020-03-09,2020-03-09,King County deaths (03/09/2020) - seattlepi.com
2020-03-09,2020-03-09,"2020 NCAA Tournament sites, dates, storylines - For The Win"
2020-03-12,2020-03-06,Jamaican Dollar Exchange Rates for 03/06/2020 ( 3 June 2020)
2020-03-12,2020-03-06,Trump is laying the groundwork to de-legitimize the 2020 election - CNN
2020-03-12,2020-03-06,"Newsweek Magazine March 06, 2020 Issue"
2020-03-12,2020-03-06,Canadian Dollar Exchange Rates for 03/06/2020 ( 3 June 2020)
2020-03-12,2020-03-07,Pakistani Rupee Exchange Rates for 03/07/2020 ( 3 July 2020)
2020-03-12,2020-03-07,2020 Becomes the Dementia Campaign - POLITICO
2020-03-12,2020-03-07,Barbadian Dollar Exchange Rates for 03/07/2020 ( 3 July 2020)
2020-03-12,2020-03-07,Phys.org | Archive : 03/07/2020
2020-03-12,2020-03-08,Nigerian Naira Exchange Rates for 03/08/2020 ( 3 August 2020)
2020-03-12,2020-03-08,Romanian Leu Exchange Rates for 03/08/2020 ( 3 August 2020)
2020-03-12,2020-03-08,Phys.org | Archive : 03/08/2020
2020-03-12,2020-03-08,How Bad Was 2020 for Tourism? Look at the Numbers.
2020-03-12,2020-03-08,"Emmy Awards 2020: The contenders, from 'Billions' to 'Westworld' - Los Angeles Times"
2020-03-12,2020-03-09,US Dollar Exchange Rates for 03/09/2020 ( 3 September 2020)
2020-03-12,2020-03-09,Icelandic Krona Exchange Rates for 03/09/2020 ( 3 September 2020)
2020-03-12,2020-03-09,Why oil prices are crashing and what it means
2020-03-12,2020-03-09,King County deaths (03/09/2020) - seattlepi.com
2020-03-12,2020-03-09,"2020 NCAA Tournament sites, dates, storylines - For The Win"
2020-03-12,2020-03-10,BIG LG OLED Software Update 03.10.20 Adds AMD FreeSync & More
2020-03-12,2020-03-10,"CNN 10 - March 10, 2020 | CNN - CNN International"
2020-03-12,2020-03-10,Latinos undercounted by 5% in 2020 census - Los Angeles Times
2020-03-12,2020-03-10,"New Windows 10 Update Causing Boot Problems, Slowdowns And BSOD Crashes - Forbes"
2020-03-12,2020-03-10,Haunted by a Gene - The New York Times
2020-03-12,2020-03-11,Exchange Rates History for 3 November 2020 (03/11/2020)
2020-03-12,2020-03-11,"03-11-2020 Coronavirus,legislative, Boyce Thompson Arboretum"
2020-03-12,2020-03-11,The pandemic year: March 2020 to March 2021 - Los Angeles Times
2020-03-12,2020-03-11,"N.J. coronavirus update: Latest cases, schools and colleges closed, parades and sports events canceled as pandemic is declared (03/11/2020) - nj.com"
2020-03-12,2020-03-11,US Dollar Exchange Rates for 03/11/2020 ( 3 November 2020)
2020-03-12,2020-03-12,US Dollar Exchange Rates for 03/12/2020 ( 3 December 2020)
2020-03-12,2020-03-12,British Pound Exchange Rates for 03/12/2020 ( 3 December 2020)
2020-03-12,2020-03-12,"NPR's 100 Best Songs Of 2020, Ranked : NPR"
2020-03-12,2020-03-12,2020 Tokyo Summer Olympics Fast Facts - CNN
2020-03-12,2020-03-12,How the Coronavirus Changed the 2020 Campaign (Published 2020) - The New York Times
2020-03-12,2020-03-12,"2020 Big 12 tournament: Bracket, schedule, scores - NCAA.com"
2020-03-12,2020-03-12,2020 Tokyo Summer Olympics Fast Facts - CNN
2020-03-16,2020-03-10,BIG LG OLED Software Update 03.10.20 Adds AMD FreeSync & More
2020-03-16,2020-03-10,"CNN 10 - March 10, 2020 | CNN - CNN International"
2020-03-16,2020-03-10,Latinos undercounted by 5% in 2020 census - Los Angeles Times
2020-03-16,2020-03-10,"New Windows 10 Update Causing Boot Problems, Slowdowns And BSOD Crashes - Forbes"
2020-03-16,2020-03-10,Haunted by a Gene - The New York Times
2020-03-16,2020-03-11,Exchange Rates History for 3 November 2020 (03/11/2020)
2020-03-16,2020-03-11,"03-11-2020 Coronavirus,legislative, Boyce Thompson Arboretum"
2020-03-16,2020-03-11,The pandemic year: March 2020 to March 2021 - Los Angeles Times
2020-03-16,2020-03-11,"N.J. coronavirus update: Latest cases, schools and colleges closed, parades and sports events canceled as pandemic is declared (03/11/2020) - nj.com"
2020-03-16,2020-03-11,US Dollar Exchange Rates for 03/11/2020 ( 3 November 2020)
2020-03-16,2020-03-12,US Dollar Exchange Rates for 03/12/2020 ( 3 December 2020)
2020-03-16,2020-03-12,British Pound Exchange Rates for 03/12/2020 ( 3 December 2020)
2020-03-16,2020-03-12,"NPR's 100 Best Songs Of 2020, Ranked : NPR"
2020-03-16,2020-03-12,2020 Tokyo Summer Olympics Fast Facts - CNN
2020-03-16,2020-03-12,How the Coronavirus Changed the 2020 Campaign (Published 2020) - The New York Times
2020-03-16,2020-03-12,"2020 Big 12 tournament: Bracket, schedule, scores - NCAA.com"
2020-03-16,2020-03-12,2020 Tokyo Summer Olympics Fast Facts - CNN
2020-03-16,2020-03-13,No Way To Predict What 2020 MLB Season Will Look Like - Forbes
2020-03-16,2020-03-13,"The News Roundup For March 13, 2020 : 1A - NPR"
2020-03-16,2020-03-13,US Dollar Exchange Rates for 13/03/2020 (13 March 2020)
2020-03-16,2020-03-13,2020 Masters postponed due to coronavirus
2020-03-16,2020-03-13,"N.J. coronavirus update: 33 cases in state, bans on public gatherings, widespread closures and cancellations, schools. What you need to know. (03/13/2020)"
2020-03-16,2020-03-13,Bitcoin Crash 2020 - Forbes
2020-03-16,2020-03-13,READ: Text of Trump’s national emergency declaration over coronavirus
2020-03-16,2020-03-13,Los Angeles Unified district to close all schools
2020-03-16,2020-03-13,March Madness 2020 cancelled: NCAA money implications - Sports Illustrated
2020-03-16,2020-03-14,Beto O’Rourke announces he’s running for president in 2020
2020-03-16,2020-03-14,Census Will Ask White People More About Their Ethnicities
2020-03-16,2020-03-14,"Today's famous birthdays list for March 14, 2020 includes celebrity Billy Crystal"
2020-03-16,2020-03-15,"CNN 10 - March 16, 2020"
2020-03-16,2020-03-15,Marathon Monday in September? Here's what we know so far about the 2020 Boston Marathon's new date.
2020-03-16,2020-03-15,"Coronavirus update: From closed schools to new cases, here’s what you need to know to start your week (03/15/2020) - nj.com"
2020-03-16,2020-03-15,Map: Coronavirus and School Closures in 2019-2020 - Education Week
2020-03-16,2020-03-15,The IRS Says You Have Until July 15 To Make 2019 IRA Or HSA Contributions - Forbes
2020-03-16,2020-03-15,Early results from 174 Flint children exposed to lead during water crisis shows 80% of them will require special education services - 60 Minutes - CBS News
2020-03-16,2020-03-15,"As Coronavirus Deepens Inequality, Inequality Worsens Its Spread (Published 2020) - The New York Times"
2020-03-16,2020-03-16,"Coronavirus updates from March 16, 2020 - CBS News"
2020-03-16,2020-03-16,US Dollar Exchange Rates for 16/03/2020 (16 March 2020)
2020-03-16,2020-03-16,"Coronavirus updates: N.J. curfew, closure of schools, gyms, bars, restaurants, casinos and more. Everything you need to know. (03/16/2020)"
2020-03-16,2020-03-16,What will a 0% interest rate mean for mortgages?
2020-03-16,2020-03-16,Coronavirus updates: Gov. Murphy to close schools; statewide curfew; businesses shut; CDC says no gathering of more than 50 for 8 weeks. Everything you need to know. (03/16/2020)
2020-03-16,2020-03-16,Online education: Students making the transition | CNN
2020-03-16,2020-03-16,2020 NBA Playoffs: How Would a Summer of Basketball Impact Players?
2020-03-16,2020-03-16,Updated: March 16 Is Tax Deadline For S-Corp And Partnership Extensions And Elections
2020-03-18,2020-03-12,US Dollar Exchange Rates for 03/12/2020 ( 3 December 2020)
2020-03-18,2020-03-12,British Pound Exchange Rates for 03/12/2020 ( 3 December 2020)
2020-03-18,2020-03-12,"NPR's 100 Best Songs Of 2020, Ranked : NPR"
2020-03-18,2020-03-12,2020 Tokyo Summer Olympics Fast Facts - CNN
2020-03-18,2020-03-12,How the Coronavirus Changed the 2020 Campaign (Published 2020) - The New York Times
2020-03-18,2020-03-12,"2020 Big 12 tournament: Bracket, schedule, scores - NCAA.com"
2020-03-18,2020-03-12,2020 Tokyo Summer Olympics Fast Facts - CNN
2020-03-18,2020-03-13,No Way To Predict What 2020 MLB Season Will Look Like - Forbes
2020-03-18,2020-03-13,"The News Roundup For March 13, 2020 : 1A - NPR"
2020-03-18,2020-03-13,US Dollar Exchange Rates for 13/03/2020 (13 March 2020)
2020-03-18,2020-03-13,2020 Masters postponed due to coronavirus
2020-03-18,2020-03-13,"N.J. coronavirus update: 33 cases in state, bans on public gatherings, widespread closures and cancellations, schools. What you need to know. (03/13/2020)"
2020-03-18,2020-03-13,Bitcoin Crash 2020 - Forbes
2020-03-18,2020-03-13,READ: Text of Trump’s national emergency declaration over coronavirus
2020-03-18,2020-03-13,Los Angeles Unified district to close all schools
2020-03-18,2020-03-13,March Madness 2020 cancelled: NCAA money implications - Sports Illustrated
2020-03-18,2020-03-14,Beto O’Rourke announces he’s running for president in 2020
2020-03-18,2020-03-14,Census Will Ask White People More About Their Ethnicities
2020-03-18,2020-03-14,"Today's famous birthdays list for March 14, 2020 includes celebrity Billy Crystal"
2020-03-18,2020-03-15,"CNN 10 - March 16, 2020"
2020-03-18,2020-03-15,Marathon Monday in September? Here's what we know so far about the 2020 Boston Marathon's new date.
2020-03-18,2020-03-15,"Coronavirus update: From closed schools to new cases, here’s what you need to know to start your week (03/15/2020) - nj.com"
2020-03-18,2020-03-15,Map: Coronavirus and School Closures in 2019-2020 - Education Week
2020-03-18,2020-03-15,The IRS Says You Have Until July 15 To Make 2019 IRA Or HSA Contributions - Forbes
2020-03-18,2020-03-15,Early results from 174 Flint children exposed to lead during water crisis shows 80% of them will require special education services - 60 Minutes - CBS News
2020-03-18,2020-03-15,"As Coronavirus Deepens Inequality, Inequality Worsens Its Spread (Published 2020) - The New York Times"
2020-03-18,2020-03-16,"Coronavirus updates from March 16, 2020 - CBS News"
2020-03-18,2020-03-16,US Dollar Exchange Rates for 16/03/2020 (16 March 2020)
2020-03-18,2020-03-16,"Coronavirus updates: N.J. curfew, closure of schools, gyms, bars, restaurants, casinos and more. Everything you need to know. (03/16/2020)"
2020-03-18,2020-03-16,What will a 0% interest rate mean for mortgages?
2020-03-18,2020-03-16,Coronavirus updates: Gov. Murphy to close schools; statewide curfew; businesses shut; CDC says no gathering of more than 50 for 8 weeks. Everything you need to know. (03/16/2020)
2020-03-18,2020-03-16,Online education: Students making the transition | CNN
2020-03-18,2020-03-16,2020 NBA Playoffs: How Would a Summer of Basketball Impact Players?
2020-03-18,2020-03-16,Updated: March 16 Is Tax Deadline For S-Corp And Partnership Extensions And Elections
2020-03-18,2020-03-17,"Mega Millions winning numbers for Tuesday, 03/17/2020; jackpot $90 million"
2020-03-18,2020-03-17,"Mega Millions lottery: Did you win Tuesday’s $90M Mega Millions drawing? Live results, winning numbers (03/17/2020)"
2020-03-18,2020-03-17,"Coronavirus updates from March 17, 2020 - CBS News"
2020-03-18,2020-03-17,Coronavirus updates: 3rd death in N.J.; first pediatric case; massive closures and curfew paralyze social routines; Everything you need to know. (03/17/2020)
2020-03-18,2020-03-17,Illinois Democrat becomes first House incumbent to lose primary in 2020 - CNN
2020-03-18,2020-03-17,Florida Election Results: Live Presidential Primary 2020
2020-03-18,2020-03-17,"LIVE: NYSE, Dow Jones, stock market trading on big board on March 17, 2020 - ClickOnDetroit"
2020-03-18,2020-03-18,"Coronavirus updates from March 18, 2020 - CBS News"
2020-03-18,2020-03-18,"Powerball winning numbers for Wednesday, 03/18/2020; jackpot $130 million"
2020-03-18,2020-03-18,"Powerball lottery: Did you win Wednesday’s $130M Powerball drawing? Winning numbers, live results (03/18/2020) - nj.com"
2020-03-18,2020-03-18,Some schools closed for coronavirus in US are not going back for the rest of the academic year - CNN
2020-03-18,2020-03-18,"Thanks, Coronavirus: Eurovision 2020 Is Canceled - NPR"
2020-03-18,2020-03-18,Greater Boston | Greater Boston Full Show 03/18/2020 | Season 2020 | Episode 202020155 - PBS
2020-04-01,2020-03-26,"Coronavirus updates from March 26, 2020 - CBS News"
2020-04-01,2020-03-26,King County deaths (03/26/2020) - seattlepi.com
2020-04-01,2020-03-26,US Dollar Exchange Rates for 26/03/2020 (26 March 2020)
2020-04-01,2020-03-26,"A grocery store threw out $35,000 in food that a woman intentionally coughed on, sparking coronavirus fears, police said - CNN"
